ids,indices_mrt_plutinos,aau_HE,e_HE,ideg_HE,wdeg_HE,Wdeg_HE,Mdeg_HE,xau_HE,yau_HE,zau_HE,vx_HE,vy_HE,vz_HE,pomegadeg_HE,lambdadeg_HE,qau_HE,q_HE,p_HE,s_HE,k_HE,h_HE,f_HE,k2_HE,h2_HE,f2_HE,aau_HI,e_HI,ideg_HI,wdeg_HI,Wdeg_HI,Mdeg_HI,xau_HI,yau_HI,zau_HI,vx_HI,vy_HI,vz_HI,pomegadeg_HI,lambdadeg_HI,qau_HI,q_HI,p_HI,s_HI,k_HI,h_HI,f_HI,k2_HI,h2_HI,f2_HI,aau_BE,e_BE,ideg_BE,wdeg_BE,Wdeg_BE,Mdeg_BE,xau_BE,yau_BE,zau_BE,vx_BE,vy_BE,vz_BE,pomegadeg_BE,lambdadeg_BE,qau_BE,q_BE,p_BE,s_BE,k_BE,h_BE,f_BE,k2_BE,h2_BE,f2_BE,aau_BI,e_BI,ideg_BI,wdeg_BI,Wdeg_BI,Mdeg_BI,xau_BI,yau_BI,zau_BI,vx_BI,vy_BI,vz_BI,pomegadeg_BI,lambdadeg_BI,qau_BI,q_BI,p_BI,s_BI,k_BI,h_BI,f_BI,k2_BI,h2_BI,f2_BI
15788,7,39.58806754407301,0.3243694084868677,1.936047336841986,78.86708951639582,354.6939971250002,0.5354947997575599,7.069902574050524,25.7815342082677,0.8898659077891509,-0.2143158769297798,0.05981908424733283,0.0013434743074649215,73.561086641396,74.09658144115356,26.746909491663885,0.033639206800705694,-0.0031241696057462904,0.9994291587351721,0.09179424779575415,0.311109834678578,0.9459304873181112,0.28294113021572953,0.9585642974110851,0.033148221084070555,39.58806754407301,0.324369408486868,2.9355242169858577,108.57660941810495,307.4266845977077,0.5354947997579815,14.497590517161498,22.441463079188736,1.2897650695405565,-0.18620020036974025,0.12176436623658643,-0.0037877915539113027,56.003294015812685,56.53878881557067,26.74690949166387,0.03112396752730291,-0.04066919029974223,0.9986877968643267,0.18136961075642297,0.2689248546642431,0.9459304873181112,0.55815747089569,0.828313784264392,0.04854392321320023,39.31509086230199,0.3197291080925065,1.937433898615991,79.15664204908057,354.8330255442272,0.3416361057024372,7.06091763883042,25.781143203058967,0.8900784007636753,-0.21407793355673554,0.05926663468511513,0.0013445163484734784,73.98966759330779,74.33130369901022,26.744911926322327,0.03367077653236673,-0.003044713007332287,0.9994283408681237,0.0881847091124829,0.3073274469362873,0.9475089959669883,0.27576013643076347,0.960652802598987,0.033204517981720576,39.315090862301915,0.31972910809250565,2.934397954448655,108.91211802698967,307.51979965977523,0.341636105705464,14.488904653511941,22.443804478973775,1.2897382562065791,-0.186140306387253,0.12116584797350394,-0.0037850984073840846,56.431917686764905,56.773553792470366,26.744911926322306,0.031178064415423486,-0.04060298469891153,0.9986888033480938,0.17678700651251888,0.2664076892470857,0.9475089959669886,0.5519436433638403,0.8324739322951942,0.04842898511456136
15789,8,39.82819741934742,0.1875653929950001,5.146473461121167,319.2199269076414,354.5018115117812,73.35905705273215,25.799877152771508,29.180241711801877,2.838675586981978,-0.0992367941011095,0.12706294953284702,0.01053493853125723,313.72173841942265,27.08079547215482,32.35780591810507,0.08928947207702703,-0.008594749063480907,0.9959686342775769,0.12963707057934706,-0.13555444139154654,0.9822521180178901,0.6914089502429271,-0.7200839667211791,-0.05858962702616573,39.82819741934742,0.18756539299499986,5.94499981302116,333.3842127664751,322.82044480436053,73.3590570527383,33.31838232023431,20.023508402672363,3.7580257258589618,-0.05648696973705445,0.15110414621127952,0.008982128088351696,296.2046575708357,9.563714623574015,32.35780591810508,0.08252192185141323,-0.0625911489966591,0.9946217776025353,0.08282489917535724,-0.16828788645045326,0.9822521180178903,0.4430348696871986,-0.8953027397607817,-0.04640159930525017,39.52651361023949,0.1856793660009393,5.156768254229456,316.9877230772713,354.6509595448911,75.64043664359676,25.790892217551782,29.179850706592674,2.83888807995646,-0.0990759819363291,0.12646543008955083,0.010529820037059353,311.6386826221624,27.279119265759164,32.18725562286272,0.08948971567787647,-0.008378971046638588,0.9959525006907168,0.12337111365660862,-0.1387674143076786,0.9826103872041498,0.6646883192894703,-0.7446006789381849,-0.06131286263854631,39.52651361023947,0.18567936600093926,5.951704533670883,331.15175124277596,322.9700535943371,75.64043664360216,33.30969645658497,20.02584980245684,3.757998912524948,-0.05651401543083642,0.15048596310012968,0.008976262256937624,294.12180483711313,9.76224148071526,32.18725562286271,0.08277799229251194,-0.06244555088166937,0.994609650650498,0.07588303937744963,-0.16946560504524566,0.9826103872041498,0.4102441090046055,-0.9106024435404525,-0.050029599690328504
15810,11,39.4770927643455,0.1171715250030036,3.796852031401476,104.0979979693184,144.8090344808086,37.70187570744269,15.740476061088987,-32.4127132321331,1.1559104299329084,0.16156336227956708,0.06285689652225195,-0.009588273726286092,248.90703245012702,286.6089081575697,34.85150160246209,-0.0541166004689445,0.03816228418691748,0.9978051080342902,-0.04216795735520295,-0.10932076492606188,0.9931116924739485,-0.35865547024708,-0.9312579959753036,0.06422459492987959,39.47709276434546,0.11717152500300354,2.713202276026102,83.48252751850016,147.81048670318134,37.70187570744303,5.180191919979697,-35.6533392299425,1.2991181805590524,0.1732017999699618,0.011115941378605408,-0.004818381364178779,231.29301422168152,268.99488992912455,34.851501602462065,-0.04006053779810622,0.025217228347981287,0.9988789940256889,-0.0732717843165461,-0.09143528801616493,0.9931116924739486,-0.6247444811007623,-0.7794116031749894,0.04703069391719039,39.35348590444269,0.1170055564350914,3.803155145862289,102.0849582109807,144.7522694734993,39.44661065091076,15.731491125868915,-32.41310423734179,1.1561229229074335,0.16154937437918152,0.06230241088079656,-0.009579904733119326,246.83722768448,286.2838383353908,34.74890938853285,-0.05416840897137386,0.038279229388779125,0.9977978172289771,-0.04602350639988821,-0.10757386808767644,0.9931312600876657,-0.39210187987968487,-0.9176325196678778,0.06485888252813912,39.35348590444266,0.11700555643509092,2.717780397599677,81.53382344349332,147.68937481624766,39.44661065091097,5.171506056330182,-35.650997830157436,1.299091367225077,0.17302080647005105,0.010591584696343775,-0.0048149974697299005,229.22319825974097,268.6698089106519,34.74890938853284,-0.04007459958805313,0.025344513039724414,0.9988752084853425,-0.07641797327224241,-0.08860357553534784,0.9931312600876657,-0.6525193938727349,-0.7563192816823766,0.04689973108038474
15820,12,39.78069340840589,0.3221787942540372,12.14049309254394,98.83391435626088,317.306605597829,5.975909540062069,9.594537200550608,24.796521208256635,5.3201684276690795,-0.1994942436441421,0.09282197033276063,-0.01442353886443088,56.14051995408988,62.11642949415195,26.96419757149615,0.15457599743589315,-0.1426056328372316,0.9776348472204699,0.17950448600476984,0.2675393708805278,0.9466788391703993,0.5421726252515254,0.8141632887578293,0.2078147821183676,39.78069340840589,0.3221787942540374,13.53378739131702,102.18026107764597,296.46124101720903,5.975909540062018,16.48387835658022,20.739833247201524,5.776493004131304,-0.1616763450220517,0.14874820959811735,-0.018884901340568878,38.641502094855014,44.61741163491703,26.964197571496147,0.10427694765034445,-0.20950199195045444,0.9722320883192033,0.2516436628962246,0.2011831066246782,0.9466788391703993,0.7567691334430319,0.6123508947867892,0.22875065097546965,39.45564030719419,0.3164989124390252,12.13726528717493,98.98813934544404,317.3897309659553,5.955245374532336,9.585552260598842,24.796130205238363,5.32038092030138,-0.19926623441177824,0.09224740071346926,-0.014411929064128073,56.37787031139936,62.3331156859317,26.967973060381862,0.15474219380413914,-0.14234393519438351,0.9776466936322443,0.17524962942237612,0.2635509987884804,0.948592872851633,0.5387656744126911,0.8164579600098146,0.20767269346558245,39.455640307194116,0.31649891243902406,13.529543330526502,102.3440293942031,296.5350122732554,5.955245380021966,16.475192489092624,20.74217465050402,5.776466190349194,-0.16163288805667422,0.14813160551756738,-0.018872089434850595,38.87904166745852,44.83428704748049,26.96797306038186,0.10451443266544354,-0.2093031259047348,0.9722494200826901,0.24638579464576485,0.1986595121605306,0.9485928728516333,0.7542193935987613,0.6155675275049745,0.22853823619020375
15875,15,39.57513852329282,0.3345038240898011,5.697363648836875,75.42370974627029,316.6960875597717,32.88151587584323,-2.8363745277065657,30.326142043912096,2.0076812194591493,-0.1976019354978527,0.032895048199034715,-0.01113300438038013,32.11979730604196,65.0013131818852,26.33710334836777,0.07224423736916423,-0.06808883992796301,0.9950601389083034,0.2833040859473319,0.17785275712298468,0.9423943928469117,0.84365921595537,0.5282120937901175,0.0960786724899474,39.57513852329281,0.33450382408980106,7.118033273786697,81.63381416437308,292.94185832310404,32.8815158767331,6.399185673152852,29.766217933672593,2.1848085164489226,-0.17805942722882395,0.09104923215333763,-0.01604464378784077,14.575672487477107,47.457188364210204,26.337103348367762,0.04830120564816353,-0.11411232475938668,0.9922929864062036,0.3237381900403786,0.084180714181339,0.9423943928469117,0.9607942429195169,0.24868625063229344,0.12259515291872024,39.38242413898734,0.3306015194569302,5.691537828118851,75.26845636533565,316.7695684695718,33.2499041621433,-2.8453594628259644,30.32575103868495,2.007893712439336,-0.1973751945646567,0.03236064434453821,-0.011123600038799437,32.038024834907446,65.28792899705076,26.362534878740835,0.07225778199010814,-0.06792683163423788,0.9950702279166048,0.28024965968060156,0.17537814264080356,0.943770435716636,0.8444306494523146,0.5270081774305428,0.09591276863316685,39.38242413898733,0.3306015194569305,7.1114517748347446,81.4986668192614,292.99528193881855,33.24990416292244,6.3904998095935435,29.76855933340966,2.1847817031230967,-0.17800498956072502,0.09047130056340397,-0.016033735544325047,14.493948758079966,47.74385292100241,26.36253487874082,0.048363056428074154,-0.11396231143517042,0.9923072136920542,0.3200798214959267,0.08274220530277716,0.9437704357166359,0.9611703924732558,0.24730554483728445,0.122439552945695
19299,19,39.8317675435656,0.2630445869812094,4.730818338186175,30.21105263868278,15.83022666354693,17.1758852425756,7.339562293144802,29.207863172727897,2.159778391372872,-0.1903244962813158,0.06938651877275506,0.009820978455602732,46.04127930222971,63.217164544805314,29.35423670133684,0.07934665689844078,0.02249805900618414,0.9965931694427749,0.18258975247113152,0.1893500383750845,0.964783677960964,0.694607567312584,0.7181908303976076,0.04150010319130484,39.83176754356556,0.26304458698120925,5.032295469431215,48.50736022747289,340.016735158254,17.175885242575664,15.75418990088213,25.626268591466097,2.594792307020045,-0.1606828451687839,0.12363761056620787,0.005396203471631474,28.524095385726866,45.69998062830253,29.354236701336824,0.08243600831303642,-0.029976988203946793,0.996145413437031,0.23111527984322508,0.12561123422330792,0.964783677960964,0.8776296661150836,0.47481489014576395,0.06570379936193181,39.56805635167748,0.257779436671749,4.737224889296993,30.15256831783186,15.96334112456053,17.35640599057816,7.33057735792471,29.207472167519207,2.1599908843473976,-0.19010263301711386,0.06882765668302307,0.009816338489751737,46.11590944239239,63.472315432970554,29.36822507514604,0.07940131021181794,0.022712989889379677,0.9965839412848932,0.1786931500593783,0.18579288493551302,0.9662037890782647,0.6936736355413122,0.7190938901351392,0.04148330417421982,39.56805635167742,0.2577794366717485,5.034930232646088,48.44028253321223,340.1585357489717,17.3564059905783,15.745504037232598,25.62860999125117,2.5947654936860696,-0.1606400540723295,0.12303783677001731,0.005392741089146694,28.598818282183913,45.95522427276221,29.368225075146015,0.08255303401333058,-0.029788424860948685,0.9961413786805051,0.22632850181004913,0.12339224951034242,0.9662037890782648,0.8770128546393499,0.47595788116591775,0.06566999431542977
20108,23,39.72244945302673,0.1491890616232384,19.51697446931277,145.1595567939124,187.8716520721202,66.87486842850527,21.24230666695845,30.267121963606044,-9.595971991091414,-0.12215397592823046,0.10247071409501249,-0.041908528019621756,333.0312088660326,39.90607729453791,33.79629449375315,-0.3309381336348174,-0.045754583095995977,0.9425425559793125,0.1329653001088572,-0.06765800082018353,0.9888086892275865,0.886758144072882,-0.4209893641321367,0.19086107305586758,39.72244945302672,0.14918906162323797,19.311034685657503,140.4493732614465,174.7319337174769,66.87486842850538,29.64614583533363,22.436348968211746,-8.782552307471661,-0.08430635019474482,0.13458351440868763,-0.044247969097299174,315.18130697892343,22.056175407428782,33.79629449375316,-0.3292993028004555,0.030363068326222674,0.9437372797855085,0.1058258895923686,-0.10515824836885647,0.9888086892275865,0.7126301795359953,-0.669191163240693,0.21057401134770537,39.45350277419038,0.1461179922248011,19.55649367149392,142.889226812157,188.0094355280919,69.2397488326778,21.233321731738304,30.26673095839737,-9.59575949811689,-0.12197780363126351,0.1018896774806233,-0.0418784965296413,330.8986623402489,40.13841117292668,33.688636162590065,-0.33147083637985136,-0.04664085445923994,0.9423118991740228,0.1276721837950535,-0.07106533006191636,0.9892671693471855,0.8689110535707604,-0.4518887393049404,0.2019657106341148,39.453502774190376,0.14611799222480115,19.354200954542943,138.18724509887588,174.86085215728653,69.2397488326778,29.637459971684052,22.43869036799685,-8.78257912080564,-0.08431475008101001,0.13397640417247533,-0.04421815770909107,313.0480972561624,22.287846088840183,33.68863616259006,-0.33007484145879623,0.029685731574726572,0.9434878676362637,0.09974190346621255,-0.10678024323227489,0.9892671693471855,0.6859869290030169,-0.6932558442066781,0.22094856349452888
24952,26,39.68991658502055,0.2318934323397439,16.5437930770884,81.30343719833039,346.7104403279125,348.6993159194329,19.73183288558668,22.30791090331362,7.796342095591596,-0.15994085759103996,0.11689847360578844,0.02287307543893815,68.01387752624294,56.71319344567581,30.486085598842006,0.27712278588186007,-0.06545573438002415,0.9586023724057063,0.08681672944340113,0.21502888050459332,0.9727411968441002,0.36497524629925326,0.8874487336689986,0.281474358864338,39.68991658502055,0.2318934323397439,17.405203707216778,85.83752370754262,324.79119581995815,-11.300684080567061,25.324244204794592,15.305241928398587,8.497252081438425,-0.11774239734423964,0.15975179438914378,0.01963671804135859,50.62871952750078,39.32803544693372,30.486085598842006,0.24440397702318195,-0.1724642904162667,0.9542131651504634,0.1470999988636622,0.17926559708047154,0.9727411968441002,0.6080139743134322,0.7357398929799033,0.29833842682012246,39.35344231562968,0.2260286606732044,16.56352415799958,82.06709296056167,346.8320437797405,347.9993987454903,19.72284795036655,22.307519898104953,7.796554588566128,-0.15973935881624915,0.11630776685416586,0.022859687367124022,68.8991367403022,56.89853548579248,30.458436456147695,0.27758250337104506,-0.06494262606977726,0.9585042561936931,0.08137277356071533,0.21087301194974933,0.974120651949376,0.3506483327899689,0.8929300950914292,0.28235012305934376,39.35344231562966,0.22602866067320404,17.422133699697415,86.60265023218547,324.91181662823584,-12.000601254509585,25.31555834114503,15.307583328183693,8.497225268104454,-0.11772838687883293,0.15912781523290573,0.01962371102167225,51.514466860421294,39.51386560591171,30.45843645614769,0.24499721620461468,-0.17211145238987866,0.9541247360844576,0.14066148088583857,0.17692739539349264,0.9741206519493761,0.5959925810593065,0.7452930105233498,0.2988832076034177
28978,31,39.59459301078086,0.2470962794473128,19.65687736330396,299.545187813809,71.07643681126704,291.6302068027778,1.722954563792631,-37.93732268967561,-4.976962851734278,0.14893890883234628,0.05318272938711684,-0.04416513127723296,10.621624625076038,302.25183142785386,29.810916391586336,0.10909234614119839,0.3182055824038014,0.9417239868137938,0.24286249523927683,0.045545358960674985,0.9689909332306962,0.934907773658791,0.20076407619539344,-0.2926452467780281,39.594593010780855,0.24709627944731283,18.4109476220019,302.51983154432514,50.68182511836969,-68.36979319763459,-9.676670783137919,-36.685493933643876,-5.245546865328378,0.1592030474163031,0.005707267903602188,-0.03979418143909165,353.20165666269486,284.8318634650603,29.81091639158633,0.2001184102340084,0.24433874500019354,0.9488156826155139,0.245358928518572,-0.02925008569086229,0.9689909332306962,0.9595795166889798,-0.09102864664483651,-0.26630985081471087,39.49688468262393,0.2440514818462529,19.63015611540603,299.8626243023315,71.0305101101053,291.0010814184655,1.713969628617865,-37.93771369486726,-4.976750358773238,0.14893338241186715,0.05263472781040454,-0.04413358730961849,10.89313441243678,301.8942158309023,29.85761144751899,0.10920459704360143,0.31770265677236176,0.9418807662673272,0.23965400712886673,0.0461203063566256,0.9697622771631448,0.9343163570833848,0.20536176877181184,-0.2913408464553948,39.49688468262393,0.24405148184625303,18.385064638213922,302.8445423897996,50.62857511657461,-68.99891858187793,-9.685356646738745,-36.683152533856244,-5.245573678674502,0.15903143651380394,0.005186536359226175,-0.039767355180863204,353.4731175063742,284.47419892449625,29.857611447518984,0.2000734951211272,0.2438212814110189,0.9489582600310221,0.242469694558422,-0.02774117899616934,0.9697622771631448,0.9603683347712106,-0.086467088348542,-0.2649832149425652
32929,35,40.02662241266696,0.2697641648080333,4.828620061936884,25.86254972407516,341.9361313988215,23.44799239241762,20.337317450147808,23.03861184956654,2.38298405974426,-0.12932355616066504,0.15198913368503755,0.00881902568048212,7.798681122896653,31.246673515314274,29.22887404742735,0.08002670302559045,-0.026100912819543163,0.996450936651093,0.26726910639327134,0.03660504585870576,0.9629264226229459,0.9902709185284293,0.13422092257032026,0.03671854928007019,40.026622412666946,0.26976416480803334,5.889734076603363,38.464502197317344,311.8059200080164,23.44799239241789,26.27100590687258,15.818904480956757,3.1079317424135278,-0.07758326924270394,0.183954376888532,0.006684138500056524,350.2704222053338,13.71841459775169,29.22887404742734,0.06840367312053408,-0.07648943809034874,0.9947212189172612,0.2658839737705549,-0.04558966008378036,0.9629264226229459,0.9831687707008603,-0.17118705785892546,0.06382914334505717,39.63596042365665,0.2630315987129361,4.834047115125054,25.15478759260689,342.0588109052489,24.19263048271425,20.32833251492777,23.03822084435779,2.383196552718784,-0.12914257848662564,0.15137490758529223,0.008815057268716123,7.2135984978557985,31.40622898057005,29.210450386899574,0.08017219964313801,-0.02595857696149188,0.99644295907318,0.26094968439802135,0.03302853514850598,0.9647872190688043,0.9916191774986536,0.12413024541295903,0.03582023158233608,39.635960423656634,0.26303159871293613,5.892774815651907,37.769783495464395,311.9157000018761,24.192630482714495,26.262320043223085,15.821245880741762,3.1079049290795515,-0.07759617524202012,0.18331417606641515,0.006679812885240849,349.68548349734044,13.878113980054934,29.210450386899563,0.06858536899978199,-0.07639751780398746,0.9947157716818172,0.258780930454216,-0.04709619894145668,0.9647872190688043,0.9814313043797449,-0.18121361295565025,0.06288259904800565
