ids,indices_mrt_74,aau_HE,e_HE,ideg_HE,wdeg_HE,Wdeg_HE,Mdeg_HE,xau_HE,yau_HE,zau_HE,vx_HE,vy_HE,vz_HE,pomegadeg_HE,lambdadeg_HE,qau_HE,q_HE,p_HE,s_HE,k_HE,h_HE,f_HE,k2_HE,h2_HE,f2_HE,aau_HI,e_HI,ideg_HI,wdeg_HI,Wdeg_HI,Mdeg_HI,xau_HI,yau_HI,zau_HI,vx_HI,vy_HI,vz_HI,pomegadeg_HI,lambdadeg_HI,qau_HI,q_HI,p_HI,s_HI,k_HI,h_HI,f_HI,k2_HI,h2_HI,f2_HI,aau_BE,e_BE,ideg_BE,wdeg_BE,Wdeg_BE,Mdeg_BE,xau_BE,yau_BE,zau_BE,vx_BE,vy_BE,vz_BE,pomegadeg_BE,lambdadeg_BE,qau_BE,q_BE,p_BE,s_BE,k_BE,h_BE,f_BE,k2_BE,h2_BE,f2_BE,aau_BI,e_BI,ideg_BI,wdeg_BI,Wdeg_BI,Mdeg_BI,xau_BI,yau_BI,zau_BI,vx_BI,vy_BI,vz_BI,pomegadeg_BI,lambdadeg_BI,qau_BI,q_BI,p_BI,s_BI,k_BI,h_BI,f_BI,k2_BI,h2_BI,f2_BI
60620,71,43.54062960739754,0.2190348272301798,19.55454522388238,82.23083155411946,184.9288378485406,330.6169862366581,-26.848824140527316,-22.735510294265964,7.226215654825877,0.1370260028321095,-0.10993421302348229,0.0430848504617947,267.1596694026601,237.77665563931816,34.00371532384796,-0.3334664205825249,-0.028757236518888667,0.9423232819429197,-0.01085379314547183,-0.21876574392283182,0.975717041185735,-0.05446282184013279,-0.9418355372139806,0.3316317564378637,43.540629607397484,0.21903482723017953,19.26797684779916,77.55830211482913,171.75368067968745,-29.383013763341996,-32.64917163972239,-13.562988936496268,6.329131149542818,0.09619212868759454,-0.14619083724054072,0.04575231655350202,249.31198279451658,219.92896903117457,34.003715323847935,-0.32657497680547554,0.04732969808812069,0.9439855317765153,-0.0773804481017416,-0.20491100944392487,0.9757170411857351,-0.3454337711618021,-0.8813844805755461,0.32223734597577414,43.74224361097423,0.2210159249812349,19.51114355230465,81.33614585163727,184.8291016817592,331.4231847975207,-26.85780907574736,-22.73590129947474,7.226428147800428,0.13702846098026156,-0.11037288624508493,0.04305791554384316,266.1652475333965,237.58843233091716,34.07451117854025,-0.3328046001740857,-0.02811662048349213,0.9425765506077234,-0.014781346066414498,-0.22052108947621257,0.9752701989216573,-0.07165807189976811,-0.9411944037247278,0.3301790652492394,43.74224361097421,0.22101592498123468,19.222000677667307,76.65468187116288,171.6635840799663,-28.576815202479377,-32.65785750337191,-13.56064753671129,6.32910433620887,0.09606275055381443,-0.1466097598021523,0.04572180567804696,248.3182659511292,219.74145074864984,34.07451117854024,-0.32575055911447276,0.04773333294115593,0.9442500210023493,-0.08165445064650048,-0.20537913668366845,0.9752701989216574,-0.36158588038071504,-0.8755790158676401,0.3203389424992818
66652,76,44.10970945823012,0.08910525536734511,0.563523454745842,202.4562868107517,84.90549456681971,61.37920273972465,42.490031209153955,-1.3611414863026887,-0.41745523284109254,0.01769665252626436,0.15511139427434056,-3.7897190831522195e-05,287.3617813775714,348.740984117296,40.179302532775125,0.0008733520640735953,0.00979632808906465,0.9999516334364096,0.026589383205177713,-0.08504558327654645,0.9960222153475896,0.29838580654445795,-0.9544379480622823,-0.003756827314827266,44.1097094582301,0.08910525536734504,1.0807983371613925,348.18554334726366,281.5968600017666,61.37920273972478,40.090165593754925,-14.132797987946232,0.6872924190251399,0.06370230731100429,0.14251941247527597,0.001717757700858582,269.78240334903023,331.16160608875504,40.17930253277511,0.003791793705936002,-0.018477319464314575,0.9998220896569076,-0.0003384011651160227,-0.08910461278032254,0.9960222153475896,-0.0037620865574507223,-0.9999854659605215,-0.003861938949914587,43.7281489318473,0.08702617189051982,0.5634256526277285,197.3376273561224,84.78156085385962,66.52829753315007,42.481046273933856,-1.3615324915113334,-0.41724273986656757,0.017779090604255532,0.1544950754942759,-3.592929214224711e-05,282.119188209982,348.64748574313205,39.92265552645011,0.0008943847185181237,0.009792716256010643,0.9999516502233018,0.018270797401454222,-0.08508661796212913,0.996206025582099,0.20993165964563484,-0.9777116707260397,-0.0029303932373359585,43.728148931847336,0.08702617189052009,1.0815669208522407,342.89256723110844,281.64725791622095,66.52829753314978,40.08147973010541,-14.130456588161111,0.6872656056911641,0.06359470532556893,0.14190698324110598,0.00171676077916707,264.53982514732934,331.0681226804791,39.92265552645013,0.0038107527414249073,-0.018487112782365943,0.9998218365411489,-0.008280875261488659,-0.08663129745549245,0.996206025582099,-0.09510251931225402,-0.9954519976658667,-0.005552581696635503
118378,116,43.61214462089152,0.1123622534459757,5.057166582334538,190.5639963293708,87.90173126336627,329.073273467964,-19.691318929425655,-34.29250510372942,1.6302873233814439,0.14837657577398963,-0.07355419722208362,-0.013359974137163059,278.4657275927371,247.53900106070114,38.71178577367636,0.00322746824386358,0.08809054327423999,0.9961072430388126,0.01654172248714388,-0.1111379656850709,0.9936673105222604,0.1465045938695341,-0.9890779709473871,-0.01616079706334353,43.61214462089153,0.11236225344597606,3.6099490047871705,199.0378551949433,61.86896827608008,-30.926726532036078,-29.164233125729297,-26.742198024288655,0.8271246848507576,0.11954877600272405,-0.1149391052174388,-0.010070219680343015,260.90682347102336,229.9800969389873,38.711785773676354,0.029686784311894764,0.05552600578677571,0.9980158102548206,-0.01775778368338567,-0.11095015600760479,0.9936673105222604,-0.15861124536152466,-0.9871274736798279,-0.02053834344212775,43.75079729150121,0.1133748748593057,5.053192092623443,188.6459225904271,87.91483792652285,330.7000638783115,-19.700303864645782,-34.292896108938095,1.630499816355972,0.14837142625457928,-0.07401725397635404,-0.013349077179723744,276.5607605169499,247.26082439526135,38.790556123582405,0.003204802929325916,0.08802222690929704,0.9961133554009365,0.012953850870196855,-0.11263241095260249,0.9935522823438315,0.11367292033641159,-0.9934299896441614,-0.013240953809797187,43.75079729150119,0.11337487485930542,3.6058477000723084,197.12401183752752,61.87781110264542,-29.299936121688148,-29.172918989378854,-26.73985662450356,0.8270978715167839,0.11940374318710072,-0.11537897410389167,-0.010063315766226044,259.00182294017293,229.70188681848478,38.790556123582405,0.02964454106290786,0.05546758129869195,0.9980203147281335,-0.02162940506582105,-0.11129254730601595,0.9935522823438316,-0.19129184911659858,-0.9813585017440515,-0.018518086192231137
118698,118,44.027081533086,0.2388409085441938,11.204210557081,81.76437094543084,285.0246846238495,336.4780613031687,29.362489600306784,-18.395896818606435,4.672717027000643,0.07457900263160933,0.16853156425689403,0.02292177106704055,6.789055569280322,343.26711687244904,33.51161337917444,0.050371062591725496,-0.1876639240027626,0.9809408787899838,0.23716618166977463,0.028234409262376785,0.971058711101334,0.9747703675010815,0.11332445169477223,0.19230262424076727,44.027081533085976,0.2388409085441936,12.78153187273987,81.44596895459127,267.7537953833109,-23.521938696831292,22.29656253601372,-26.406228731479032,5.288996404026079,0.12132657963274919,0.13812981440604238,0.026274299610483613,349.19976433790214,325.67782564107085,33.511613379174435,-0.008670968919947052,-0.2210641779298872,0.9752207152917602,0.23461019533534205,-0.04475528839063044,0.971058711101334,0.9578016669053677,-0.1864249683038876,0.21877316578180617,43.61167444713986,0.231850356394363,11.20891622876946,82.29738923961929,285.0253823767951,335.7451042200124,29.35350466508671,-18.3962878238151,4.672929519975179,0.07462331558481883,0.1679062506716881,0.022908350357213107,7.3227716164144,343.0678758364268,33.50029218361555,0.050394233813898945,-0.18774111967995644,0.9809249171978589,0.22995935329444958,0.029551372093215206,0.9727514647842,0.9735871658858448,0.12255827978562359,0.19263306693908336,43.61167444713987,0.2318503563943628,12.786238225155872,81.97918927013079,267.75429007333986,-24.25489577998755,22.28787667236421,-26.40388733169394,5.2889695906921155,0.12118035525269318,0.13752032727911342,0.02625684378330065,349.73347934347066,325.4785835634831,33.500292183615564,-0.008672199180062451,-0.22114429645877098,0.9752025395296797,0.22813828114380152,-0.041322057511029284,0.9727514647842002,0.9594533291715437,-0.17726509338231455,0.21914925464121615
119066,120,43.69915202828103,0.08173729748530009,6.748098167383874,273.091971668873,47.78275160678883,316.9884673461079,0.5580614107206046,-41.098699536732454,-3.316543871784311,0.1590237986766612,0.012723461281399395,-0.01292383018232708,320.87472327566184,277.8631906217697,40.12730143909006,0.07895634921999668,0.08702405978894248,0.9930723578550057,0.06340918807688453,-0.051577714835292277,0.9966539089371995,0.7706449422564574,-0.6263699002258578,-0.1173333757529802,43.699152028280984,0.0817372974852999,6.107602827967583,286.02391397707686,17.348852128055892,-43.01153265389252,-11.787083009661645,-39.347295853013684,-3.6426614694445645,0.15573530002188288,-0.03590830033510628,-0.008636590372021836,303.37276610513277,260.36123345124025,40.12730143909003,0.10155572914886116,0.03172610213621404,0.9943238347340798,0.04496236786818106,-0.06825958742833693,0.9966539089371995,0.5484570501537971,-0.8299019906782947,-0.10226216311421842,43.66696343455853,0.07910062218477035,6.735423999496273,271.8831106492718,47.67246706532247,317.9445958649111,0.5490764755006232,-41.099090541941166,-3.316331378809796,0.15901151290670928,0.012202577336617351,-0.01291322554830036,319.5555777145943,277.5001735795054,40.212879457965336,0.07897578620495349,0.08670951282215618,0.9930983262393779,0.060198388003670715,-0.05131337556405051,0.9968666368025274,0.7559358772700838,-0.6440652829374252,-0.11722141771298984,43.66696343455854,0.07910062218477054,6.0981522575809075,284.8501038303956,17.203455271846558,-42.05540413508854,-11.79576887331108,-39.34495445322866,-3.642688282778547,0.15556601336053968,-0.036401139242877356,-0.008630647341134327,302.05355910224216,259.9981549671536,40.212879457965336,0.10147924083146669,0.03141977880984289,0.9943413705462575,0.04197963146580344,-0.06704191951319069,0.9968666368025274,0.5290940447865853,-0.8423274455045967,-0.10268381723071916
119067,121,43.617858211409,0.1925101527280695,7.218887113737183,304.080077835953,42.93452922824433,304.3127108567457,0.34950163718301397,-39.99232575988032,-3.7388450036947773,0.16049322824117396,0.03140951738821196,-0.010934421065823974,347.0146070641973,291.32731792094296,35.22097766545937,0.09199997123483006,0.08559502721714202,0.9920733322736214,0.18758716421760613,-0.04325753950679017,0.9812949816933823,0.9699553454957305,-0.21989596721411625,-0.10407877472004769,43.617858211409,0.19251015272806948,6.695846033518784,316.40911615761837,13.11308601564144,-55.68728914325733,-11.640106974133008,-38.22960678708875,-4.061072219962636,0.16272322084337057,-0.0185390687321074,-0.0064538350447255035,329.5222021732598,273.8349130300025,35.22097766545937,0.11355832353670155,0.02645319168319449,0.9931791056024618,0.16591021010376614,-0.09764200472495849,0.9812949816933823,0.8607587719341263,-0.5026240421091652,-0.08039532842335292,43.54696504895453,0.1892811679102233,7.20590655852197,304.0662701990706,42.81149810142788,304.0891146129634,0.34051670196337547,-39.9927167650889,-3.7386325107202807,0.16047995759304107,0.030876109203145354,-0.010925149823801286,346.8777683004985,290.96688291346186,35.30434464554274,0.09201867395598526,0.0852445337699891,0.9921017755783523,0.18433864850411522,-0.04297235382352724,0.9819229294983094,0.9694415295232592,-0.22222944461627991,-0.10390955096209173,43.546965048954505,0.1892811679102233,6.686467730282728,316.4255245684308,12.959768014366944,-55.910885387039016,-11.648792837782073,-38.2272653873037,-4.061099033296627,0.1625492505613126,-0.019043549284798646,-0.006449354995220774,329.3852925827977,273.4744071957587,35.30434464554272,0.11347027666714503,0.02611276770706195,0.9931981774428297,0.16289751791537516,-0.0963937714920844,0.9819229294983094,0.8595598620042209,-0.5046932961981366,-0.08025908299965122
119070,124,43.69964984602495,0.1743133983747697,3.318350266323914,218.9798557573557,22.18957599666078,25.94696422710185,5.083317820463375,-36.76931019005796,-2.085342684514009,0.17559138361975524,0.008277389125212087,-0.0034006800419524594,241.16943175401647,267.11639598111833,36.08221537357686,0.05359685395767376,0.021861096815247612,0.9983233292335075,-0.08405760387277428,-0.15270717103046905,0.9846902249677504,-0.4826194624913711,-0.8750729390421126,-0.03641161601383698,43.69964984602493,0.17431339837476978,3.5580040538838476,245.2433024245794,338.3893407842653,25.946964227101788,-6.20147634936492,-36.58713380641177,-2.2570504975265204,0.16991800512091365,-0.0451513479444033,0.0012810587459381444,223.63264320884468,249.57960743594646,36.082215373576844,0.05769673064696602,-0.02285616902290398,0.9980724837456686,-0.12616435031271775,-0.12028182557282306,0.9846902249677504,-0.7231341903697208,-0.6884046856865785,-0.056355402962729034,43.6657191793064,0.1751568091412236,3.315765899019197,218.1210655422893,22.01733773061496,26.6476009838826,5.074332885243253,-36.769701195266634,-2.0851301915394798,0.1755679935047453,0.007759485139158917,-0.003396458254041394,240.13840327290427,266.7860042567869,36.01737113900236,0.053620582751716654,0.02168299822265132,0.9983259391067844,-0.0872117275450981,-0.1519013573577755,0.9845405487898733,-0.4982940018609621,-0.866272600739415,-0.0357053065741997,43.6657191793064,0.1751568091412239,3.56009552028971,244.3746420726427,338.2269480184598,26.647600983882494,-6.210162213014475,-36.584792406626676,-2.257077310860493,0.16973921256889182,-0.045637991743449326,0.0012803545196454257,222.60159009110248,249.24919107498496,36.01737113900235,0.05766555150163928,-0.023033120151523968,0.9980702177432694,-0.12892912664840117,-0.11856301316268769,0.9845405487898733,-0.7354328925258073,-0.675280555493174,-0.05598778406004969
119956,129,43.94634655390661,0.1718646335652081,4.048893736259478,155.7487187790389,105.566134087973,91.13722949768082,44.312906095548584,9.162005408000592,-3.195646138444031,-0.00509682273812485,0.1459522637686664,-0.00242482422075472,261.3148528670119,352.4520823646927,36.3935238068898,-0.01894761690156319,0.06801793007260093,0.9975041598922735,-0.025952344484954926,-0.16989387300970415,0.9851205752239147,-0.15001702774234332,-0.9882579684889008,0.02900136385661505,43.946346553906565,0.1718646335652083,2.471791852934891,157.03654319306162,86.69790101667412,91.13722949768211,45.08135200014786,-4.6519018847958105,-1.9543936820121106,0.03928195874214291,0.14067353851190986,-0.0013431134138974857,243.73444420973573,334.8716737074178,36.39352380688976,0.002484171368308433,0.04305592131790271,0.9990695754210912,-0.07605563003654728,-0.1541200616735121,0.9851205752239147,-0.44216977781046324,-0.8967735361970736,0.01682594329128589,43.5874391498072,0.174097211243656,4.049436872063332,153.1017961876481,105.5720540959526,93.7605899709616,44.3039211603285,9.16161440279189,-3.1954336454695063,-0.004999107441680802,0.14534208385228747,-0.002421256495569317,258.6738502836007,352.43444025456233,35.99898754857321,-0.01895718308173234,0.06802508072862402,0.9975034905209454,-0.0341915911277776,-0.1707066901412158,0.9847284707152433,-0.1953056948550022,-0.9802219292917413,0.03194768994436397,43.5874391498072,0.17409721124365585,2.4723254716852874,154.38556323655112,86.70787289248017,93.76058997096271,45.072666136498334,-4.6495604850107455,-1.954420495346087,0.039190724379259786,0.14006234646598986,-0.001342058801273436,241.0934361290313,334.85402609999403,35.998987548573226,0.002477212130941989,0.043065642397525104,0.9990691737136858,-0.08415557556178423,-0.15240629273321674,0.9847284707152434,-0.48298093012736815,-0.8754322649029662,0.018648611212773756
129772,148,43.45141318315891,0.02943602614438166,3.305512789809421,130.026763659221,83.2964764103151,8.430640118770635,-31.17340588967626,-28.379844890996043,1.596811350016572,0.10433899648136664,-0.1160227883201323,-0.006767246474632773,213.3232400695361,221.75388018830674,42.17237624868912,0.006730766205209988,0.05726588874205515,0.9983362733933258,-0.024596290141069614,-0.01617102799666868,0.999566666293363,-0.8343193211461117,-0.5495105044694174,0.044152868990109416,43.451413183158934,0.029436026144382232,1.9761122256665091,149.21060363001965,46.548994737294755,8.430640118776513,-38.319443659664735,-17.637285917495817,0.5413135554579134,0.06457887797248833,-0.14212099689977467,-0.004989988095577059,195.7595983673144,204.19023848609092,42.17237624868911,0.02371501424124347,0.0250332475167816,0.9994052904694377,-0.028329518574373498,-0.007994874140158894,0.999566666293363,-0.9621887512077272,-0.2718110410816196,0.01765120379579146,43.6673315232586,0.03427939876009578,3.302265802062313,128.4016941874068,83.3361842395804,9.821890408734498,-31.182390824896352,-28.38023589620474,1.5970238429910955,0.10436336294015536,-0.11645738070308316,-0.006760768261572355,211.7378784269872,221.5597688357217,42.170441653183524,0.006684512150886878,0.05721434541602058,0.9983395394232971,-0.02915337856140958,-0.018032129597160742,0.9994122887080418,-0.8491710620557724,-0.5261850131442657,0.04514243357906506,43.667331523258554,0.034279398760095225,1.9722934908438812,147.5934344477824,46.58075513060165,9.821890408737762,-38.32812952331426,-17.63494451771075,0.5412867421239358,0.06447068846973386,-0.14254264725252977,-0.004986489182532142,194.17418957838407,203.99607998712185,42.170441653183495,0.023655350974669545,0.024998007741543097,0.9994075865127395,-0.03323578840826741,-0.00839401859865082,0.9994122887080419,-0.9693251511238751,-0.24508886806678803,0.018444461185334153
134568,157,44.06578374737917,0.1561023041380659,10.20251442116906,59.69757826933641,276.7621827574741,31.72026093343242,35.80660753716063,12.723123200352859,6.6690419361344,-0.04073023770717871,0.16574969860362784,-0.003766869227439292,336.4597610268105,8.180021960242925,37.187013370763545,0.02085655713090063,-0.1758957308835043,0.9841878356704087,0.143111440065149,-0.062346171331465805,0.9877408924625865,0.9032229602656044,-0.4010005056198199,0.15292769056546707,44.06578374737917,0.15610230413806592,11.756845629343333,58.2431127356435,260.60778696597527,31.720260933432236,37.779063754223834,1.312407230397401,7.712785278575817,0.011341145526212347,0.17031013032652464,-0.003455731611227734,318.85089970161874,350.571160635051,37.187013370763545,-0.033251768861440684,-0.20102720665278503,0.9790211346303836,0.11754499913554581,-0.1027185598391925,0.9877408924625865,0.7354008037221961,-0.6551097467680349,0.17325379526656612,43.6283352489416,0.1493331075701985,10.20547055517235,57.75602548506865,276.7566366743012,33.70326853351406,35.797622601940546,12.722732195144118,6.669254429108929,-0.04060863928372621,0.16512624955065308,-0.0037624020029672026,334.5126621593698,8.215930692883887,37.113180368102725,0.020845504962280267,-0.17594817447574654,0.984178695573888,0.13480006982701453,-0.06425977117298569,0.9887869451926575,0.8893919346509715,-0.4318859729925969,0.14985490619275652,43.62833524894158,0.1493331075701987,11.759775868947434,56.30118074335106,260.6025989459426,33.703268533514084,37.7703778905743,1.3147486301824252,7.712758465241846,0.011268638360577551,0.16967907449581118,-0.0034532610262986937,316.90377968929363,350.6070482228077,37.1131803681027,-0.03327814669505766,-0.20107359215128878,0.9790107126543199,0.10904413263438355,-0.10202820274114163,0.9887869451926575,0.7129793375842871,-0.6803743288721036,0.1695618966327802
