des           g
K14R86U 1.000000
K14R86W -1.000000
K14Sb3P 0.000000
K14Se4B 0.000000
K14Se4C -1.000000
K14Se4J 2.000000
K14SZ0F 0.000000
K14TB5H 0.000000
K14TB5K 1.000000
K14UM8F 1.000000
K14UM8M 0.000000
K14UM8O 0.000000
K14UM8U 0.000000
K14UM8V 0.000000
K14UM8Z 0.000000
K14UM9B 0.000000
K14UM9O 0.000000
K14UM9T 0.000000
K14UM9U 0.000000
K14UR6W 0.000000
K14UR7H 0.000000
K14V37T 0.000000
K14Wo9C 1.000000
K14Wp0B 0.000000
K14Wp0E -1.000000
K14Wp0O 0.000000
K14Wp0R -1.000000
K14Wr6C -1.000000
K14Wr6D -1.000000
K14Wy1X 0.000000
K14X54T 0.000000
K14Y72R 0.000000
K14YA0D -1.000000
K15AU9B 2.000000
K15Bp9A 0.000000
K15FY5R 0.000000
K15G54F -1.000000
K15G54G 0.000000
K15G54H 0.000000
K15G54J 0.000000
K15G54K 1.000000
K15G54L 1.000000
K15G54M -1.000000
K15G54N 0.000000
K15G54O 0.000000
K15G54P 0.000000
K15G54Q 0.000000
K15G54R -1.000000
K15G54S 0.000000
K15G54T 0.000000
K15G54U 0.000000
K15G54V -1.000000
K15G54W 0.000000
K15G54X 0.000000
K15G54Y 0.000000
K15G65R 0.000000
K15KH3C 0.000000
K15KH3D 1.000000
K15KH3E -1.000000
K15KH3F 1.000000
K15KH3G 1.000000
K15KH3H 0.000000
K15KH3J 0.000000
K15KH3K 1.000000
K15KH3L 0.000000
K15KH3M -1.000000
K15KH3N 0.000000
K15KH3O 0.000000
K15KH3P 0.000000
K15KH3Q -1.000000
K15KH3R 0.000000
K15KH3S 0.000000
K15KH3T 0.000000
K15KH3U 0.000000
K15KH3V 0.000000
K15KH3W 1.000000
K15KH8G 1.000000
K15KJ9M 0.000000
K15RR7R 0.000000
K15RR7S 0.000000
K15RR7T 0.000000
K15RR7U 0.000000
K15RR7V 0.000000
K15Ta1C 0.000000
K15Ta1P 0.000000
K15Te8Q 0.000000
K15VG4J 0.000000
K15VG4K 0.000000
K15VG4L 1.000000
K15VG4M -1.000000
K15VG4N 1.000000
K15VG4O 0.000000
K15VG4P 0.000000
K15VG4Q 0.000000
K15VG4R 1.000000
K15VG4S 0.000000
K15VG4T 0.000000
K15VG4U 0.000000
K15VG4V 0.000000
K15VG4W 0.000000
K15VG4X 0.000000
K15VG4Y 0.000000
K15VG4Z 0.000000
K15VG5A 0.000000
