,aau,lq,lp
0,30.0,-0.009441280301268985,0.015478866954305755
1,30.01,-0.009441272403420633,0.01547885444240026
2,30.020000000000003,-0.009441265536011885,0.015478843557907612
3,30.030000000000005,-0.009441259625180772,0.015478834184788457
4,30.040000000000006,-0.009441254597480759,0.015478826207677978
5,30.050000000000008,-0.009441250379884952,0.015478819511865465
6,30.06000000000001,-0.009441246899790008,0.015478813983274414
7,30.07000000000001,-0.009441244085019668,0.015478809508443048
8,30.080000000000013,-0.009441241863828097,0.015478805974505213
9,30.090000000000014,-0.00944124016490293,0.015478803269171683
10,30.100000000000016,-0.009441238917368122,0.015478801280711678
11,30.110000000000017,-0.009441238050786626,0.0154787998979348
12,30.12000000000002,-0.009441237495162885,0.015478799010173135
13,30.13000000000002,-0.009441237180945212,0.015478798507263546
14,30.140000000000022,-0.009441237039028036,0.015478798279530203
15,30.150000000000023,-0.009441237000754103,0.015478798217767242
16,30.160000000000025,-0.00944123699791655,0.015478798213221437
17,30.170000000000027,-0.00944123696276095,0.015478798157575026
18,30.180000000000028,-0.009441236827987295,0.015478797942928392
19,30.19000000000003,-0.009441236526752071,0.015478797461783001
20,30.20000000000003,-0.009441235992670396,0.015478796607024281
21,30.210000000000033,-0.009441235159818316,0.015478795271904653
22,30.220000000000034,-0.009441233962735154,0.015478793350026429
23,30.230000000000036,-0.009441232336426048,0.015478790735324752
24,30.240000000000038,-0.009441230216364614,0.015478787322050304
25,30.25000000000004,-0.009441227538495807,0.015478783004752037
26,30.26000000000004,-0.009441224239238984,0.015478777678259628
27,30.270000000000042,-0.009441220255491198,0.015478771237665768
28,30.280000000000044,-0.009441215524630746,0.015478763578308257
29,30.290000000000045,-0.009441209984521004,0.015478754595751744
30,30.300000000000047,-0.009441203573514556,0.015478744185769285
31,30.31000000000005,-0.009441196230457688,0.015478732244323437
32,30.32000000000005,-0.009441187894695228,0.015478718667547086
33,30.33000000000005,-0.00944117850607579,0.015478703351723787
34,30.340000000000053,-0.009441168004957442,0.01547868619326768
35,30.350000000000055,-0.009441156332213844,0.015478667088702922
36,30.360000000000056,-0.009441143429240876,0.015478645934642555
