a q p i_deg W_deg
30.0 -0.0205832131884782 0.02303501203545833 1.7702301850228332 131.7827656078314
30.04001333777926 -0.020583225784320154 0.02303501305612492 1.7702307097474292 131.78278176701892
30.08002667555852 -0.02058323198482652 0.023035013544929504 1.7702309674688057 131.78278973848668
30.12004001333778 -0.020583239364813613 0.023035014093701008 1.7702312728036216 131.7827992671114
30.16005335111704 -0.020583255900392762 0.02303501529891209 1.7702319558946997 131.7828206470212
30.2000666888963 -0.020583292517820817 0.023035017948591294 1.7702334677541076 131.78286801572938
30.240080026675557 -0.020583363059494854 0.023035023002265488 1.770236378108787 131.78295933177117
30.280093364454817 -0.0205834824640826 0.023035031430750946 1.7702412990464387 131.78311405550065
30.320106702234078 -0.020583664773567573 0.023035044046612115 1.7702488016531785 131.78335060193075
30.36012004001334 -0.020583922027793883 0.02303506140865071 1.770259369714281 131.78368492948934
30.4001333777926 -0.020584264238740095 0.02303508381081039 1.7702733982633523 131.7841305177706
30.440146715571856 -0.0205847000180895 0.023035111316126497 1.7702912190096098 131.7846991931602
30.480160053351117 -0.020585237319938752 0.023035143789955463 1.7703131301327668 131.78540211456266
30.520173391130378 -0.020585883976297882 0.023035180906436914 1.7703394170206972 131.78625050557162
30.560186728909635 -0.020586647947217145 0.02303522212180747 1.7703703606918355 131.78725603286216
30.600200066688895 -0.020587537345427235 0.023035266619445903 1.770406236398165 131.78843090761856
30.640213404468156 -0.020588560321467934 0.02303531323005419 1.7704473058379389 131.7897878247279
30.680226742247417 -0.020589724883087433 0.02303536032952203 1.7704938059049602 131.79133983867126
30.720240080026677 -0.02059103868709778 0.02303540571110283 1.7705459352886619 131.79310023313215
30.760253417805934 -0.020592508825844277 0.023035446425267635 1.7706038394877726 131.7950824232116
30.800266755585195 -0.020594141599789024 0.023035478574614493 1.770667593373423 131.7972998941567
30.840280093364456 -0.02059594226843195 0.0230354970464759 1.770737180262953 131.79976618737984
30.880293431143713 -0.020597914724980848 0.023035495144378127 1.7708124637589944 131.80249490642393
