mpc_des,classification_gmv08method_vvl24,res_p_largernumber,res_q_smallernumber,Secure_or_Insecure,aau_bary,e_bary,ideg_bary,wdeg_bary,Wdeg_bary,Mdeg_bary,aau_helio,e_helio,ideg_helio,wdeg_helio,Wdeg_helio,Mdeg_helio,g2026feb12
2060,centaur,0,0,S,13.66035840634819,0.3808288693852142,6.935994795280865,339.5576946614904,209.2859264292004,192.811439892835,13.71305151034971,0.3762147230385045,6.918061908008081,339.4393882923577,209.3053744299162,192.8897740144431,-99999.0
5145,centaur,0,0,S,20.32045144177667,0.5726041065175566,24.69008535002866,354.7971781858566,119.33974871247,123.5646105612326,20.30222026972162,0.5720389527767726,24.66626671642874,354.6219542617023,119.382320387857,124.0226102227427,-99999.0
7066,centaur,0,0,S,24.53895835062803,0.5185945255579401,15.65705072072252,170.5311434509412,31.24046778236976,92.05006751116822,24.62743856691048,0.515215221984137,15.61745317951943,170.7756471913496,31.38690459901643,91.82429956947085,-99999.0
8405,centaur,0,0,S,18.01196283302957,0.6201039715094995,17.62131472257852,290.3497507657283,6.029643752435696,96.96170213306478,18.06070791648884,0.6197600038602207,17.61258375377666,290.7790008834933,5.809910217397561,96.44494090787315,-99999.0
10199,centaur,0,0,S,15.75240125701619,0.1703872240580105,23.39850177439375,241.6285844482026,300.4212055922236,110.6903353137005,15.79873875584812,0.1675538725113076,23.38050177408006,242.2831596945322,300.4426548005727,110.2158716500267,-99999.0
10370,centaur,0,0,S,25.01604572558266,0.2459279008295649,4.143879665773363,5.987549707526686,178.1810023886551,80.15544353780251,25.04960980787451,0.2436074561909783,4.139206119772623,6.250704117963609,178.3124754611199,80.03094899718678,-99999.0
15760,classical,m,0,S,43.93169127881377,0.06935864754515028,2.185457507108798,2.828023174722455,359.4121582420375,35.59074926233211,44.29418167194455,0.07631145665468779,2.179662023397884,5.50055739648846,359.2795311421397,32.86202555988188,-99999.0
15788,resonant,3,2,S,39.31509086230199,0.3197291080925065,1.937433898615991,79.15664204908057,354.8330255442272,0.3416361057024372,39.58806754407301,0.3243694084868677,1.936047336841986,78.86708951639582,354.6939971250002,0.5354947997575599,0.0
15789,resonant,3,2,S,39.52651361023949,0.1856793660009393,5.156768254229456,316.9877230772713,354.6509595448911,75.64043664359676,39.82819741934742,0.1875653929950001,5.146473461121167,319.2199269076414,354.5018115117812,73.35905705273215,0.0
15807,classical,m,0,S,43.74704486861042,0.0611652402208927,0.563902423345072,304.7802418863689,176.8078041249886,82.44410879754894,43.50243080413682,0.0601098932759996,0.5647190773591965,299.6628473829028,176.8970240017166,87.59198205219086,-99999.0
