Title: Dynamical Classifications of multi-opposition TNOs as of December 2023 
Authors: Volk K., Van Laerhoven C.
Table: TNO classifications
================================================================================
Byte-by-byte Description of file: rnaasad22d4t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label Explanations
--------------------------------------------------------------------------------
   1-  7 A7     ---   Des   Minor Planet Center designation (1)
   9- 18 A10    ---   Class Gladman et al. 2008 dynamical classification
  20- 21 A2     ---   p     Resonant integer p for resonant objects (2)
  23- 24 I2     ---   q     Resonant integer q for resonant objects (3)
  26- 27 A2     ---   soi   Secure (S) or insecure (I) classification (4)
  29- 36 F8.3   au    a     Barycentric semimajor axis of the best-fit orbit
  38- 42 F5.3   ---   e     Eccentricity of the best-fit orbit
  44- 50 F7.3   deg   i     Ecliptic inclination of the best-fit orbit
--------------------------------------------------------------------------------
Note (1): Packed for provisional designations.
Note (2): i/m/o for classical objects, 0 otherwise.
Note (3): 0 for non-resonant objects.
Note (4): With 'H' indicating a human judgement call.
--------------------------------------------------------------------------------
88268   classical  m   0 S    42.476 0.017   1.886 
88269   centaur    0   0 S    25.972 0.238   4.359 
88611   classical  m   0 S    44.013 0.028   2.579 
90377   detached   0   0 I   506.391 0.850  11.929 
90482   resonant   3   2 S    39.279 0.224  20.568 
90568   classical  m   0 S    41.945 0.077  21.983 
91133   resonant   3   2 S    39.357 0.228   5.942 
91205   resonant   3   2 S    39.264 0.132  10.605 
91554   scattering 0   0 S   101.586 0.695  25.505 
95625   resonant   7   3 I    53.053 0.376  13.939 
95626   centaur    0   0 S    23.050 0.219  15.023 
118228  resonant   3   2 S    39.392 0.122  14.664 
118378  resonant   7   4 I    43.751 0.113   5.053 
118379  classical  m   0 I    45.297 0.234  15.345 
118698  resonant   7   4 S    43.609 0.232  11.210 
118702  detached   0   0 I    98.313 0.601  23.356 
119066  resonant   7   4 I    43.668 0.079   6.736 
119067  resonant   7   4 I    43.548 0.189   7.206 
119068  resonant   5   2 I    55.087 0.357  12.906 
119069  resonant   3   2 I    39.126 0.241   2.361 
119070  resonant   7   4 S    43.667 0.175   3.316 
119315  centaur    0   0 S    17.448 0.176  17.432 
119473  resonant   3   2 S    39.590 0.285   3.672 
119878  resonant   12  5 S    53.861 0.345  15.733 
119951  classical  i   0 S    38.785 0.045   0.403 
119956  resonant   7   4 S    43.589 0.174   4.049 
119976  centaur    0   0 S    23.915 0.384   3.523 
119979  resonant   2   1 S    47.854 0.262   9.183 
120061  centaur    0   0 S    20.719 0.473  19.743 
120132  detached   0   0 S    49.381 0.250  11.777 
120178  classical  m   0 S    43.187 0.106  27.161 
120181  scattering 0   0 S    32.339 0.172   2.719 
120216  resonant   3   2 S    39.374 0.315  29.281 
120347  classical  m   0 S    42.027 0.107  23.931 
120348  classical  i   0 S    38.851 0.065  24.837 
121725  centaur    0   0 S    17.946 0.463   6.774 
