a e inc Omega omega Manom LibCen LibAmp KozCen KozAmp
39.28710663655643 0.2804494015585 21.832883533650502 178.80338088639695 254.82892096628478 305.2559277089939 172.5 82.5 262.5 60.0
39.38833076591107 0.265957419487528 15.383453816373892 324.37152181813735 96.44949743831008 167.70680567660182 172.5 45.0 82.5 75.0
39.439780408097334 0.3134708216679 41.19862006657285 143.24058978530928 98.09827372658422 291.3806732774754 172.5 45.0 82.5 15.0
39.241853528667725 0.275690971693859 34.2366064068364 215.9861163542302 68.77746882109165 136.69285466334514 171.75 111.75 82.5 45.0
39.446707651854304 0.245323665674006 18.206012873409993 185.98770756183248 126.71280330398601 4.780566904782083 172.5 45.0 82.5 45.0
39.41822309430686 0.263653737880576 29.95045682104321 354.5182415540116 226.82086801154676 291.29440894884095 173.25 98.25 262.5 60.0
39.257693076743266 0.207619707655738 20.355962608228335 313.8247194916727 107.69102847515448 73.25346734500285 172.5 105.0 82.5 75.0
39.27172935908996 0.305505654592572 19.442233167105165 242.27654123421684 265.4721827442427 352.7873733598022 172.5 90.0 262.5 75.0
39.58805088981503 0.241023347977792 28.746212290404394 130.1116834093913 295.37074325892377 62.1924567994199 171.75 117.75 262.5 45.0
39.53699926790013 0.248344750647265 12.460065021173488 135.43239974524568 276.5444870088479 196.92562881286844 172.5 90.0 262.5 45.0
39.44673360491274 0.370494400441073 27.704612010288173 333.24279908231534 274.21786024680284 175.99560318267632 172.5 58.5 262.5 75.0
39.39956625083652 0.360278910290711 45.86567792123776 7.729078103865646 260.58861482675974 180.25997676896662 172.5 69.0 262.5 30.0
39.24163772618555 0.253923425985958 36.70144135104005 281.13943446167127 104.46372783435855 340.88823086914135 172.5 94.5 172.5 150.0
39.31605523390547 0.288711217813823 20.037379754702513 13.344009382421033 111.74723393256572 142.19482923199723 171.75 92.25 82.5 60.0
39.325427289582834 0.22593408979202 30.78387424020017 347.1095350154184 266.7020401888748 139.46083259624731 171.75 111.75 262.5 45.0
39.30813234776064 0.312684475798534 44.00518193073087 281.1619003310342 271.90895830075203 323.99501897112424 172.5 75.0 262.5 15.0
39.406920387450064 0.30609227186428 31.974074583188 348.0637448887061 209.53160276443856 95.21019618271663 172.5 54.0 262.5 75.0
39.37049402346927 0.264545273653504 39.021509769003245 155.7971537226258 221.6337716423765 88.26428645204376 172.5 64.5 262.5 75.0
39.44032783775529 0.255335805221306 8.952275181897654 51.74085376885847 257.94894265147434 354.4188549583686 172.5 75.0 262.5 45.0
39.33784416564736 0.274523912877534 19.396685988040062 264.6975398418412 60.355220741799094 23.496497046868296 171.0 90.0 82.5 60.0
39.51734818581665 0.267756183439728 29.74197752633445 220.70132879163364 265.37662086275236 234.82761903286465 172.5 105.0 262.5 30.0
39.49569318744205 0.226448153036734 24.792127743498504 127.0171106233553 55.71731809078034 344.96039412821005 172.5 93.0 82.5 75.0
39.48861443590554 0.278155796964492 28.80596882555626 162.57982022954153 294.0143469607066 152.36553000134168 172.5 70.5 262.5 30.0
39.48951188368291 0.289070700959876 20.45171252365515 269.17422874271546 101.81581032729606 345.2914747832212 171.75 86.25 82.5 60.0
39.49690573939594 0.269324020075447 26.68286453547596 330.7124719789515 70.73762526031244 210.3504048134899 173.25 90.75 82.5 30.0
39.43209695273144 0.25602620591676 30.169923253452392 298.4698095838013 207.41836330125093 233.73354645411126 172.5 55.5 262.5 75.0
39.40113817006293 0.248593239867312 25.601073312499807 347.46180678932456 60.33431631245608 169.89607999517315 174.0 96.0 82.5 45.0
39.376916609729314 0.24912659612154 34.26267425087276 164.88784034818073 264.4140771876505 24.32566965258343 172.5 105.0 262.5 30.0
39.42246934562777 0.270326264449569 25.884943864125198 102.49594479348036 290.47482206945773 214.94696402767545 172.5 84.0 262.5 45.0
39.409910697555446 0.291950633044669 28.23269333007272 319.07403695971993 281.2521190629261 281.584187645514 171.75 84.75 262.5 45.0
39.33919059983631 0.328501951954564 26.641783087202114 80.35060614422372 106.96444358125733 221.98753861695138 172.5 60.0 82.5 60.0
39.36087368357204 0.232745323380722 20.91510198131131 155.657030957865 239.70653317373365 330.40836697342195 172.5 60.0 262.5 75.0
39.47316843227545 0.235612464242703 26.588639952602165 84.49372277154433 45.50067392011171 119.12930781293441 172.5 102.0 82.5 75.0
39.269976533632786 0.223966422166372 20.21320030545312 277.4745597809579 50.12881550426102 246.08351943517198 172.5 85.5 82.5 90.0
39.420773186988086 0.289519767699341 38.93870612813332 340.0260389413606 120.4350990206118 27.378686970588625 172.5 30.0 82.5 45.0
39.498473238659145 0.30383139442127 33.55265934154714 255.18169181249425 302.2270448909719 205.73641105265276 171.75 87.75 262.5 60.0
39.37512189117769 0.17446391489511 31.36851627817731 202.01135872434142 271.7494893345367 17.245647362866176 173.25 51.75 262.5 75.0
39.39704150696315 0.365063354233336 44.06708731668871 139.29654328929283 291.5713239838685 187.91701738700263 173.25 69.75 262.5 45.0
39.4969342541213 0.290827779943225 22.163901998776012 198.39866731887315 273.85064289802284 283.7045431458055 172.5 69.0 262.5 60.0
39.32539753461652 0.301380856665241 22.07517230082139 129.4106772883652 243.06737327637774 213.23336479283515 171.75 57.75 262.5 60.0
39.4300768856103 0.276509565346681 15.18335511571173 113.04326548110075 290.31189176149394 87.25747990172684 172.5 73.5 262.5 45.0
39.443797486227076 0.276871608425591 46.01121279764543 299.13681957715573 118.09487176639476 291.5754755928129 172.5 48.0 82.5 45.0
39.38022634656698 0.294813084963601 34.347742889446806 34.733298990760545 272.6453377145425 143.12993831412788 172.5 45.0 262.5 15.0
39.405704024187536 0.325344665429994 26.765448513793153 354.338457017227 55.251741421466065 91.02545267853436 171.0 72.0 82.5 75.0
39.46452181432364 0.31260270097573 31.613203758325454 307.5645366154038 220.28045596926475 105.97023388667766 172.5 72.0 262.5 75.0
39.431298540156746 0.362974114292781 52.031327893486704 307.9274227274334 258.07697441121707 223.76510379893853 172.5 75.0 262.5 30.0
39.3660028656864 0.276540996444031 37.41695882029962 171.65737663162503 263.51318185147215 190.14869425372893 172.5 75.0 262.5 15.0
39.299460064257055 0.240691415321791 20.2543053590713 103.95166063547596 249.85158745774652 315.3729786764633 172.5 120.0 262.5 45.0
39.54907248282514 0.227268443182359 25.28904967519736 285.9770121203987 118.74709050782147 61.854099624396554 172.5 100.5 82.5 75.0
39.52591027262202 0.278771950384995 25.545772000303824 70.04261174166544 57.608888427075414 19.608557207134826 173.25 87.75 82.5 45.0
39.40368163763573 0.314818657304932 45.90965129615076 233.4816053109657 97.54658794170376 229.42215823095242 172.5 45.0 82.5 15.0
39.3343610838805 0.349519702663538 40.454670917643824 191.4313780177482 303.44748842855165 354.3716617163318 172.5 64.5 262.5 45.0
39.33418410047392 0.310423241347439 18.341245676402263 119.07297964170118 279.36075594130546 75.56548439214012 172.5 60.0 262.5 75.0
39.456889798158244 0.235381617091349 26.145443642867605 75.41349061512769 123.23944154784606 81.48727737362101 171.75 57.75 82.5 60.0
39.31103338422382 0.280201795369811 26.3031846829322 309.8732046500521 303.0245118235 167.8763727895391 173.25 98.25 262.5 60.0
39.46695360175896 0.297129721157522 33.13830094833789 209.4138066740974 83.21939446122866 284.09240557275666 171.75 105.75 82.5 30.0
