res_q,res_p,aau,laplace_ideg,laplace_Wdeg,laplace_q,laplace_p
2,3,39.40827887514304,1.4219883665732154,-142.5813870951819,-0.019709161658070646,-0.015078939744934027
2,5,55.397049477694196,1.6480200213176057,106.01687313611362,-0.007935308573665261,0.02764298309690035
1,2,47.73973004806281,1.7930272717167277,103.23202313455069,-0.007161922807719501,0.03045843079614283
4,7,43.67356668995787,2.238044745957531,97.24261785787753,-0.004923244687006723,0.03873973462745335
3,5,42.27586102169877,2.9589579306648215,91.60138671907845,-0.0014425807689653677,0.05160044432885149
