libs,idegcc,Wdegcc,qcc,pcc,scc,angledeg68,angledeg95,angledeg997,sigmahat,Rbar,Kout,kappahat
gplus,1.6424235191024372,86.33773947547151,0.0018307704011115296,0.02860324242662296,0.999589167009338,0.6408621913551615,1.0391691925794002,1.447148716427672,0.010478239510061252,0.8372447254435966,6.143846209633865,6.142551281644606
gminus,2.414408346790369,113.51014462194941,-0.016804904073797044,0.038629927728268225,0.9991122679072554,0.634225123691545,1.0284063518661026,1.4321588465741455,0.010369726431524399,0.838250948964915,6.182090177948287,6.180784812790176
gnone,1.7940102355916996,107.36874824801566,-0.009345555714618757,0.029878806718882413,0.9995098386196308,0.25398927721383024,0.4118362373722446,0.573498919357688,0.0041528542212916405,0.650101162671565,2.7984102884755186,2.857922889363058
gplusminusnone,1.8179111835789048,106.67633335096362,-0.009103447090167336,0.0303889693267604,0.9994966922378151,0.2279615231350594,0.3696326064378431,0.5147278159228024,0.0037272895412647894,0.6703869116299362,2.987686501341889,3.03381653469563
gall,1.8121719663841265,107.38704623751195,-0.009449772598034582,0.030178169249077336,0.9994998648817415,0.22683744975690448,0.36780994043545,0.5121896496246282,0.003708910452794607,0.6713701514044901,2.997368661607799,3.0428937235594824
