mpcdes,aaubary,ebary,idegbary,nodedegbary,peridegbary,Mdegbary
15820,39.45564030719419,0.3164989124390252,12.13726528717493,317.3897309659553,98.98813934544404,5.955245374532336
19299,39.56805635167748,0.257779436671749,4.737224889296993,15.963341124560532,30.152568317831857,17.35640599057816
24952,39.35344231562968,0.2260286606732044,16.56352415799958,346.8320437797405,82.06709296056167,347.9993987454903
38628,39.41344885255506,0.2760810917213484,15.4737505554119,169.3231329149966,67.88163360166344,11.69255000204176
69986,39.43649097384976,0.2249712079282595,13.93292928254597,233.9768279467523,146.3080038154204,53.39905048976094
90482,39.27973240900756,0.2238492831796987,20.56755294481566,268.5833462525786,73.02334000377972,184.934362532034
91133,39.35425714389974,0.2281002011044488,5.941857309659968,50.23941666950229,180.8131761769208,35.47637139683013
134340,39.48886004513597,0.2490156779353786,17.14068505519694,110.3009981703397,113.7737185262524,48.454167315208146
455502,39.23155115834246,0.2230766513514189,12.04452502115821,136.0305665679313,145.473094461045,118.69577382633278
469362,39.55580087292228,0.2825384917582665,17.51825981240526,223.005974641985,52.918107132032,357.9487428995312
469987,39.43849903826467,0.3024333064420558,12.450244986115,222.5631765707984,102.2109627619216,319.0018484634739
504555,39.40638106530381,0.2425400634064726,18.79734957590866,158.7516789317817,172.7674062580078,48.07644190880671
523700,39.46594813642711,0.3880469991287099,54.24975672305477,159.8811245256979,72.47600735992881,26.624723635257833
523701,39.28997592626894,0.2409798182613952,14.45723800977884,73.51068371025876,172.7208661647817,359.523415925241
523703,39.58123560415017,0.2265774590361448,14.74718203608962,109.8298998917887,132.5782867044393,2.283989987150062
535024,39.33369066704768,0.3445005101810445,26.410830539858,51.84533295004338,65.7406254304551,330.363516994229
535029,39.21457753686703,0.2141714823833572,17.48466625072481,167.4660450164844,177.4230383654682,71.46962320350083
535229,39.40134954919446,0.1966682532071257,19.063711914343262,303.8080811044262,108.1315638343769,47.37954993692518
543435,39.24733702786281,0.2572934737746955,20.16831928498999,67.33002740532717,131.4177780640678,22.11754966818905
552679,39.39883829998492,0.2398094065038029,12.240666040671552,129.1756118016586,164.1433936254729,325.7582740286748
555758,39.41838715239668,0.2575361634182765,24.16298629778144,201.96624208309,35.49608196553851,356.5024951745879
555916,39.38166851410858,0.2862943968806814,26.11342800025583,204.2235123432422,57.49999764789396,349.89918024838
556130,39.32018885513159,0.258760838926952,16.816228182922384,160.4980478640049,129.4883807455576,332.8105279018223
560039,39.40695816494742,0.3285520784311872,24.02187586071978,152.0287563599969,97.61366743447138,350.241268411103
576257,39.31420430950087,0.2890516785817225,29.066777542731113,185.103387928477,75.09365171783904,0.6624016349489015
579246,39.24132242074315,0.2673349215808268,19.25133801564582,131.07983211742862,141.2176375382407,351.9629017378867
612772,39.54795127503802,0.2291068543689075,16.65087943291773,197.8918007857299,82.01065918585655,340.1578991563106
613620,39.27088034294216,0.226131289212816,14.84101491554149,235.91940926716813,149.4476799845301,27.67033418901157
K01FH2U,39.34754695178246,0.2681548915947566,24.73439477640034,32.4555419066029,134.2316710376886,55.00855367962046
K02G32E,39.29243655258336,0.2301856910084259,15.70075408733511,203.7422597434693,104.8233497991565,308.7635803040026
K03FC7L,39.25910150603987,0.2354673717964244,3.494693081210546,314.2502683200666,56.06801035044148,169.2341371890481
K03UT2V,39.33628272312716,0.2153841192349265,10.97264606525513,235.66849701989406,121.9617683554598,68.97460570052989
K04H79B,39.24318298556549,0.2283399495664266,2.66101260671266,62.60607679038317,188.8403555296724,359.5631201614434
K05GI7F,39.42985333201954,0.254385124634059,3.9066939706191994,128.8938777951771,134.92283742097294,0.0256371663390132
K09J19E,39.45210329361713,0.3010599537359382,22.17625201089752,144.4016261684403,117.4172897212463,337.1872661751335
K11HA4N,39.39631768630306,0.2927986706678989,17.49141609464566,161.4256201076708,53.83269587942723,27.96460497257355
K11Uf0R,39.40150237948347,0.2681712622743292,17.31901365416721,27.04897223337362,50.31531259142331,349.6116583361591
K12F87N,39.37031784165931,0.2542774839030231,20.64408045481559,74.03172530522747,160.9163632593775,358.0597840819005
K12UH7G,39.30135527399742,0.2246902022159329,21.87718604131034,261.8696065828517,130.3919531366132,14.24077266187285
K13HF6W,39.59182105136806,0.2433010788429472,9.930243080921608,125.9953323339833,35.12593790352425,51.10972053692016
K13J64Z,39.42068084871972,0.2326623235448677,10.12820926370692,117.1487921656816,130.4856806736035,6.95353385708491
K13J65C,39.37196775738377,0.294315266834661,16.40963778640584,87.17733060864369,127.3900775932131,25.62203758627538
K13J65E,39.35326331714277,0.2782667206126225,8.048058609615353,113.8530183226614,66.18560584378021,48.41967003403204
K13J65G,39.36487303466103,0.2493359964941893,15.934703979462208,85.23911818506573,174.6020750919601,0.9943587489171908
K13M18R,39.3998991834731,0.3403013167862002,31.10590017292658,168.2971802533507,116.45306745945781,344.7111453704109
K13R98D,39.44668986949157,0.2326273317753166,19.54578031318995,144.8593981114907,104.848485361903,136.4337823059788
K13U17F,39.43979464422751,0.2507368959071292,17.12341709224645,190.8636852508922,150.1584138137868,33.79551387095081
K14G54J,39.42774966351414,0.273287495377846,17.26434552800709,233.058746039446,37.48881857404015,348.0593945681965
K14HY4J,39.39382108541226,0.3059702714366805,18.40176475563366,153.049292604447,54.35115238921695,27.78777041025536
K14J80T,39.58631972453693,0.2179618762517045,14.494853325814711,146.1098427793835,150.7361958145349,343.114235634371
K14J92Q,39.36836888655609,0.3374034546362231,24.15879430185477,160.3897734082898,74.0574172829776,17.15767503632152
K14KA1X,39.55269108567543,0.2379814199218524,4.001926671974428,129.4741295063844,86.32818059842933,28.940194761846687
K14KA2C,39.30834126287849,0.2659105562212643,12.581201068395412,162.849278965891,137.1542073302398,343.9356479318664
K14R86U,39.49535940704487,0.2195707248743456,30.212463276486545,138.0938582435361,127.72691156668331,109.8017192408853
K14TB5K,39.35824628206164,0.2303522864706162,11.9831942608893,178.8019590981612,161.5801338138971,34.97516278079016
K14UM8F,39.54608131616106,0.2202287703670796,12.60142443259342,8.309386826410707,40.88262349780286,358.8744648584967
K14Wo9C,39.51101164717478,0.2564135837557127,9.268911798539477,304.2858754886282,107.685251381555,38.35949494762005
K15G54K,39.50304750492236,0.3134200782466375,30.52925152947377,204.76957069487082,57.82377161803635,340.0859106880946
K15G54L,39.50962376469683,0.2379505392279747,1.247146606583301,118.45313487357039,160.8160090364597,320.6756731431554
K15KH3D,39.46572653597128,0.2503525113896219,7.03931986597205,153.9741420175345,134.0823584010475,338.3087303900546
K15KH3F,39.36100991946093,0.257196748177986,15.335406199785899,80.6066524508664,156.5553967609561,9.859402414976357
K15KH3G,39.46531544712253,0.2816570007756176,7.146789246564072,171.6019649827333,99.58599090603602,352.2686639992126
K15KH3K,39.23136125506397,0.2556328811219417,10.46032061998,101.1760788218641,94.14953826111706,34.91024169368781
K15KH3W,39.42361047829926,0.1985985956705258,19.54262031578567,73.64865650468302,111.4788025677815,45.72291892111307
K15KH8G,39.36511926648882,0.2770192654273454,27.49034039006224,69.45559714213658,112.3570878206933,42.80647977042889
K15VG4L,39.32055007741097,0.2376831135945985,11.59915004916119,220.4347490951894,169.0852093575285,22.21755719089147
K15VG4N,39.44732897775668,0.2415291512996342,9.429910076593425,62.02880190423172,90.24252696399496,294.2912615999622
K15VG4R,39.26711250299449,0.2061608319215922,1.654751287043649,100.1543031592074,317.4684320200936,7.726192013435715
K15VG5D,39.52138114136291,0.2233574146690359,12.00909114912401,50.60227777437811,103.7786532561556,292.7116616628472
K15VK2O,39.26601070109518,0.2460450837944144,3.314887417689317,123.19889363028751,167.6738682789559,104.7749886368966
K17OG6W,39.45309404086564,0.2571080934841642,2.334172352408157,179.2041167609757,234.2173447865207,264.9675601487248
