packed_designation,vtx,vty,vtz
15820,-0.9245182127148888,0.3735898241726426,-0.0754766032166371
19299,-0.9698081843113712,0.24035454254219238,0.041252630486006844
24952,-0.7649809612151833,0.6306310429602785,0.13079991067705363
38628,0.9798104267445946,-0.19988627256076222,0.004123794895532877
69986,-0.9736510245326897,-0.14761276625880007,-0.1738221897913733
90482,-0.24671656492367308,-0.9654758217903061,-0.08359051459702964
91133,0.9597284921730537,0.27477185493084477,-0.05849486344201397
134340,0.8381179167295069,0.46091001655074604,-0.2917538591007537
455502,-0.8588955161208157,0.5098066100272495,0.04894601883791831
469362,0.9786132898068522,0.058899256730355454,0.19709618608694973
469987,0.9459694234696897,-0.26656744613195626,0.1846175682948656
504555,-0.710323446902212,0.6914394278267239,-0.13172743991899732
523700,0.8353322692019962,0.10736545752281015,-0.5391592144819205
523701,0.8793826258482507,-0.40692672297283555,-0.2471777487696341
523703,0.8920366214213379,-0.41280289866899256,-0.1840229140451867
535024,-0.7717034450011233,0.45752590506325114,0.44175087908169586
535029,-0.9870561575789517,0.15930546120429295,0.018490857631899588
535229,-0.8309645855409377,-0.4512567976486467,-0.3253692673758021
543435,0.7770638259210613,-0.530657796121451,-0.3384879818552602
552679,0.8515142397297156,-0.5193599026146984,-0.07203326379927012
555758,0.7522672426060529,-0.5539347729769981,0.3567215482541076
555916,0.8573137558650505,-0.3832225312564586,0.34373480408878165
556130,0.9021615329885786,-0.4302433277473806,0.03154754070538107
560039,0.7682393982035355,-0.6339533431893258,0.0889459707178834
576257,0.9862463817141818,-0.1190371645393798,0.11466572292585618
579246,0.9526252771046039,-0.23108091439941533,-0.19775412112445778
612772,0.9190663708611106,-0.3486779339863174,0.18368642928431145
613620,-0.9054563009464042,0.34323134589119014,-0.24968205837460006
K01FH2U,0.909317098179981,-0.2591610088524553,-0.32554260312302674
K02G32E,0.7860983952135429,-0.5712869337556175,0.2359672696854319
K03FC7L,0.06110539201601918,-0.9973364025987815,-0.039827517094209584
K03UT2V,-0.9874725060332274,-0.031040124050394642,-0.15470798469178462
K04H79B,0.9430384114770612,-0.3294938221696023,-0.04596058779962942
K05GI7F,0.9929878628637622,-0.1079665129598869,-0.04814910471172666
K09J19E,0.6428794006725752,-0.7595173178424655,0.09919435512295047
K11HA4N,0.9935105937508333,-0.08645810644615814,-0.0739032877117902
K11Uf0R,-0.8379777170881693,0.4834617945572164,0.2530968962022572
K12F87N,0.7263657791269168,-0.6051698587015213,-0.3258254088197049
K12UH7G,-0.756718107083993,0.5627210013394488,-0.3327503284186908
K13HF6W,0.8441314092513789,-0.5322051320084864,-0.06480633749187517
K13J64Z,0.971010939874277,-0.19484756293276334,-0.13846364816671458
K13J65C,0.9480257078911594,-0.1492515117485949,-0.28101822613173166
K13J65E,0.9707157902323647,-0.21176881700750155,-0.11342320193328786
K13J65G,0.9509315504020376,-0.14376401474855735,-0.2739727988566636
K13M18R,0.9570950237989078,-0.2851859094392769,0.05136255909376797
K13R98D,-0.6656957115170946,0.7419893472889344,-0.07937901597708609
K13U17F,-0.5777704134623046,0.7713189645572877,-0.2669239671552015
K14G54J,0.8990658796976194,-0.33205394820652784,0.2853431608502336
K14HY4J,0.9750320745765916,-0.20458964939003715,-0.08634540467986465
K14J80T,0.9900316357535472,-0.010563558069404882,-0.14044846545288397
K14J92Q,0.9901091613582232,-0.026864971962330682,-0.13770302057681658
K14KA1X,0.9895005488305292,-0.13654809828612374,-0.04736328449890749
K14KA2C,0.9972382493633453,0.02315054348263009,-0.07056859317847496
K14R86U,-0.6166889706397921,0.7810050287943336,-0.09861976723352905
K14TB5K,-0.5696671673247521,0.8044829054003168,-0.1681861272247444
K14UM8F,-0.7332349453187529,0.6585458681325599,0.1693630849061811
K14Wo9C,-0.9037961823447672,-0.39756265376817396,-0.15841842414262006
K15G54K,0.6387264043451462,-0.6014511329781448,0.47988031323615155
K15G54L,0.6174684690237002,-0.7865871177740444,-0.003660042820705707
K15KH3D,0.9488794844093256,-0.3152104150930484,-0.016435275597342855
K15KH3F,0.9278904769244939,-0.26441036791580985,-0.2628810000198979
K15KH3G,0.973979948009356,-0.22640241639621764,0.01024727893864167
K15KH3K,0.9382192733339324,-0.3073843495525922,-0.15893223963336622
K15KH3W,0.8853906383097363,-0.3234275222685336,-0.33388329612712714
K15KH8G,0.8468460403198065,-0.26511919742938705,-0.46104619632859184
K15VG4L,-0.899556546466083,0.3971721494405362,-0.18180292467063985
K15VG4N,-0.844451985513856,0.510035662757255,0.16359849289487408
K15VG4R,-0.9368668528635481,0.3488011612893943,0.024864631280612202
K15VG5D,-0.8624716427223778,0.4630409890395842,0.20429319119590508
K15VK2O,-0.8668149914114225,0.49794006115072736,0.026219576000108095
K17OG6W,0.9340236596476466,0.35689291029467174,-0.015074939463117642
