packed_designation,vtx,vty,vtz
28978,0.9471338196358258,0.08343050462873637,-0.30980135344998955
84719,-0.8937357906369231,0.4101865836602739,0.18161305878076855
120216,0.8612131827390727,-0.3374044823259491,-0.3800921851114473
133067,0.9078409256405907,-0.4004530969130605,0.12434697786747612
307463,-0.9982667017110436,0.05378288208464199,-0.023895477597735824
456826,-0.8796344671769747,-0.0031999461580327,0.4756395321026896
500883,0.9366607021806965,-0.23263426329622078,0.26181678428051375
508823,-0.5959710721913242,0.7388172592446737,0.3145910655967718
523618,-0.8083734908289629,0.5533046268155495,0.20096340281131303
523644,-0.9978210381904101,0.043635044105298254,0.04948897524237883
523704,0.8042090903565307,-0.5748044352752517,-0.15115422645702142
523751,-0.9859029309142058,0.16660323062903656,0.015452325350793543
523764,-0.9786871016043603,-0.20469394016205916,-0.01649084637572864
525258,-0.7331126278361155,0.647872752151656,0.20689797467994714
547616,-0.7045407655697182,0.6559781816796886,-0.27076730749971434
591486,-0.742236382226344,0.6695970166262613,0.0269256053740458
612688,-0.9776178510703157,-0.178947096053231,-0.11064029140766726
612952,0.4649484675346421,-0.8717711832359754,-0.15439535814439342
K03WJ3O,-0.8205182337633568,0.5682356656026077,0.06211325461624728
K04E96J,0.7382312340435155,-0.6594974751466114,-0.14169589040558925
K04H79A,0.7351228109149464,-0.5832594377823013,0.3455472197983684
K04K19B,0.9503921668001563,-0.19037477438379402,-0.24599222459911887
K05GI7A,0.8537135828377235,-0.44597072368073465,-0.26885541113777034
K06TC1K,-0.9059847629827034,0.39396069099099906,-0.15487602524945368
K06WJ5S,-0.6471008638378838,0.5471982656761217,0.530880900072049
K11Uf0S,-0.7399005077761956,0.6475780057114949,0.18218113269834202
K11Uf0W,-0.7553635973446944,0.6357300980579248,0.15897508682099748
K11Uf0X,-0.7688375637435866,0.5665582478271104,-0.29648027319857334
K12W37F,-0.8537640316277534,0.5017332279861499,-0.13910695968686437
K12XF9W,-0.9765027150986383,-0.024234967498868006,0.21413807170915822
K13GD7J,0.818573739740676,-0.5015941934749076,-0.2798933684087937
K13RA9C,-0.4998195775114019,0.5331414875461941,0.6825983769343106
K13RC4X,0.7327084607790649,0.6507509755442876,0.1991519001439136
K13TH1Y,-0.5010218690918807,0.7745219602124356,0.3861253939335827
K13TI8E,-0.7128519046754662,0.697605837964374,0.0720295553129659
K13U16X,-0.40121633926180317,0.9129190042798391,0.07486214486684657
K13U18W,-0.4915713183163434,0.8649383832834784,-0.10118909097177889
K13V24F,-0.9504189764070354,0.04087006628614269,0.3082748886418891
K13V46N,-0.6881564084203836,0.7239821687437092,0.04785997169988024
K13V46Q,-0.6038541787410304,0.7848977608068101,0.13890873225773598
K13V71R,-0.723361046540934,0.6431874769606263,0.2511148458937236
K13V72C,-0.7534579921565356,0.6428077049030325,0.13820024809217096
K13WC3J,-0.7178419278059325,0.6848849280050426,0.1250424011101434
K14Qp0T,0.7292336186675494,0.6036733065977404,0.32217521367476676
K14Qp0Z,-0.4997174160001698,0.8051993666463243,0.3192749349674537
K14R74N,-0.7524592765150679,0.631857108987042,0.1859075872818477
K14R86W,-0.7525324365124809,0.6524677063906202,0.08933545832396139
K14Se4C,-0.7891488742805907,0.5998966296076857,-0.1317880419727654
K14Wp0E,-0.8918373280582439,0.08488099385049983,0.44432127696621
K14Wp0R,-0.95159764260244,-0.30337811895077116,-0.049230514270831575
K14Wr6C,-0.7711145044018517,0.5479442754032056,0.32425220454754416
K14Wr6D,-0.5776908501788446,0.7782983321533796,0.24601826718134473
K14YA0D,-0.9716888509244682,0.19369225788496375,-0.13529259486206607
K15G54F,0.528870724737307,-0.8289103067409962,0.18221816565420434
K15G54M,0.5844064088369653,-0.7962355210339586,0.1564549275480397
K15G54R,0.6044352699319702,-0.7775630800066573,-0.17335991772271558
K15G54V,0.6085601696800206,-0.7934191014761941,-0.011859565410821938
K15KH3E,0.8962785863644327,-0.4322493841148359,-0.09922280764481167
K15KH3M,0.9124554557780205,-0.4004933505058246,0.08384579549114889
K15KH3Q,0.7574056864474178,-0.21409042280310686,-0.6168483744009566
K15VG4M,-0.8700149026647523,0.38529439300734253,0.3076073793951388
K15VG5F,-0.8263814661831037,0.409711578235894,-0.38630311286412977
K15VG5K,-0.9251172999183084,0.3793420759431528,-0.01604901277332145
K15VG5N,-0.9236094028869415,0.37867623387364957,0.0595817153000542
K15VG5Q,-0.8381442974425228,0.44628981126403355,-0.31359135993597387
K20K54E,0.8644269087125763,0.3535373486979799,0.35745973559160793
