a e inc Omega omega Manom
39.24163772618555 0.253923425985958 36.70144135104005 281.13943446167127 104.46372783435855 340.88823086914135
39.39485364319897 0.27124898086724 13.41989468271498 126.0272783764917 82.00161094291121 76.73618054002334
39.46756781947695 0.283317577909162 37.04309113416102 293.21568453283317 99.76889762672346 54.341783701409675
39.47026034891661 0.190657612304356 17.124070660538933 71.22518770346119 92.56128077334499 352.02573082912375
39.6184272752947 0.218092148824229 19.069619370833724 245.65614925867746 28.979875974286923 158.9445621404445
39.31242268375997 0.369172411181325 51.13535035941914 117.5262378150594 68.8314470787786 325.0286009710352
39.256258465397664 0.296904591345507 25.639380905066034 242.8725709131214 81.91551904694082 236.7307105751574
39.32055343929664 0.308751247847432 32.55069814137783 7.070088085086017 304.9924210338884 105.64749635276624
39.4067165103733 0.201689955027716 29.97429220308671 208.09095477185195 88.65772142114916 121.38429380499632
39.45105170970779 0.276565436158577 43.9498794123492 162.73097915626448 217.57141080364428 238.97021834337525
39.57410601106376 0.275573777561336 36.48340401164967 122.33294565244223 303.9819221458348 284.9182565686141
39.48482494034253 0.318568964403179 31.83849437849662 132.13749448599364 322.22399099167484 274.1557663536803
39.39611278486879 0.244019184618424 8.703133755635822 20.92507245879694 46.819789534593426 155.19238712936558
39.371354710221674 0.20230114402299 24.51887979202603 340.17548466772314 242.21812803395443 347.21909856721817
39.24730440794984 0.246504807830768 32.25586930997864 87.75719098126922 3.214190760832623 47.325058934473695
39.395176069324 0.251656752636592 24.977687485900287 286.6554737213772 228.04293232449433 268.8779746676556
39.59628304083551 0.269737388726904 35.98590370233095 223.81258579697231 21.654950692456502 291.1346060461538
39.42582183390743 0.302517831199189 19.078985328219304 292.3584522317347 131.9472420447014 45.01874084935849
39.32241155515206 0.204037917252768 15.066484417066244 3.323944260302635 48.33186465193624 80.36145008588637
39.275604154605084 0.282918269075989 33.07880879490654 223.60772953553723 40.300743578708605 167.6636800224993
39.25605115074153 0.370280772894576 36.411751129546055 306.3491874781268 66.77984677610493 333.7362059304146
39.398084543633196 0.239829108681831 20.634921048268406 161.89359866001425 140.9547118841365 29.801828733423264
39.271410234753844 0.237208729075366 33.99331628405595 248.55643993696174 295.46994921744545 214.2328873846918
39.5463920533759 0.283730030591642 43.16768530562383 143.81824030875745 275.25652144676803 297.66058115967365
